!xóõ	k o
'k	ə k
130-jarig	ˌh ɔ n d ə ɹ ˈd ɛ ɹ t ə x ˌj a ɹ ə x
130-jarige	ˌh ɔ n d ə ɹ ˈd ɛ ɹ t ə x ˌj a ɹ ə ɣ ə
131-jarig	ˌh ɔ n d ə ɹ t ˈe n ə n ˌd ɛ ɹ t ə x ˌj a ɹ ə x
131-jarige	ˌh ɔ n d ə ɹ t ˈe n ə n ˌd ɛ ɹ t ə x ˌj a ɹ ə ɣ ə
132-jarig	ˌh ɔ n d ə ɹ ˈt w e j ə n ˌd ɛ ɹ t ə x ˌj a ɹ ə x
132-jarige	ˌh ɔ n d ə ɹ ˈt w e j ə n ˌd ɛ ɹ t ə x ˌj a ɹ ə ɣ ə
133-jarig	ˌh ɔ n d ə ɹ ˈd ɹ i j ə n ˌd ɛ ɹ t ə x ˌj a ɹ ə x
133-jarige	ˌh ɔ n d ə ɹ ˈd ɹ i j ə n ˌd ɛ ɹ t ə x ˌj a ɹ ə ɣ ə
1337	l iː t
134-jarig	ˌh ɔ n d ə ɹ t ˈf i ɹ ə n ˌd ɛ ɹ t ə x ˌj a ɹ ə x
134-jarige	ˌh ɔ n d ə ɹ t ˈf i ɹ ə n ˌd ɛ ɹ t ə x ˌj a ɹ ə ɣ ə
135-jarig	ˌh ɔ n d ə ɹ t ˈf ɛi f ə n ˌd ɛ ɹ t ə x ˌj a ɹ ə x
135-jarige	ˌh ɔ n d ə ɹ t ˈf ɛi f ə n ˌd ɛ ɹ t ə x ˌj a ɹ ə ɣ ə
136-jarig	ˌh ɔ n d ə ɹ t ˈs ɛ s ə n ˌd ɛ ɹ t ə x ˌj a ɹ ə x
136-jarige	ˌh ɔ n d ə ɹ t ˈs ɛ s ə n ˌd ɛ ɹ t ə x ˌj a ɹ ə ɣ ə
137-jarig	ˌh ɔ n d ə ɹ t ˈs e v ə n ə n ˌd ɛ ɹ t ə x ˌj a ɹ ə x
137-jarige	ˌh ɔ n d ə ɹ t ˈs e v ə n ə n ˌd ɛ ɹ t ə x ˌj a ɹ ə ɣ ə
138-jarig	ˌh ɔ n d ə ɹ t ˈɑ x t ə n ˌd ɛ ɹ t ə x ˌj a ɹ ə x
138-jarige	ˌh ɔ n d ə ɹ t ˈɑ x t ə n ˌd ɛ ɹ t ə x ˌj a ɹ ə ɣ ə
139-jarig	ˌh ɔ n d ə ɹ t ˈn e ɣ ə n ə n ˌd ɛ ɹ t ə x ˌj a ɹ ə x
