akrobat	a k r ʊ b 'ɑː t
akryl	a k r 'yː l
akt	a k t
akta	²'a k t a
aktar	²'a k t a r
akter	'a k t ɛ r
akterseglad	²'a k t ɛ ɕ eː ɡ l a d
aktie	'a k t s ɪ ɛ
aktiebolag	²'a k t s ɪ ɛ b uː l ɑː ɡ
aktieägare	a k t s ɪ ɛ ɛː ɡ a r ɛ
aktinium	a k t 'iː n ɪ ɵ m
aktion	a k ɧ 'uː n
aktiv	'a k t iː v
aktivera	a k t ɪ v 'eː r a
aktiverar	a k t ɪ v 'eː r a r
aktivist	a k t ɪ v 'ɪ s t
aktivitet	a k t ɪ v ɪ t 'eː t
aktning	²'a k t n ɪ ŋ
aktningsvärd	a k t n ɪ ŋ s v ɛː r d
aktningsvärdhet	a k t n ɪ ŋ s v ɛː d h ɛ t
aktris	a k t r 'iː s
aktsam	²'a k t s a m
aktualisera	a k t ɵ a l ɪ s 'eː r a
aktualiserar	a k t ɵ a l ɪ s 'eː r a r
aktualitet	a k t ɵ a l ɪ t 'eː t
aktuell	a k t ɵ 'ɛ l
aktuellt	a k t ɵ 'ɛ l t
aktör	a k t 'øː r
akupunktur	a k ɵ p ɵ ŋ k t 'ʉː r
akustik	a k ɵ s t 'iː k
akustisk	a k 'ɵ s t ɪ s k
akut	a k 'ʉː t
akuten	a k 'ʉː t ɛ n
akutmottagning	²a k 'ʉː t m uː t ɑː ɡ n ɪ ŋ
akvarell	a k v a r 'ɛ l
akvarellmålare	a k v a r ɛ l m oː l a r ɛ
akvarium	²a k v 'ɑː r ɪ ɵ m
al	ɑː l
alabaster	a l a b 'a s t ɛ r
aladåb	a l a d 'oː b
alarmerande	a l a r m 'eː r a n d ɛ
alban	a l b 'ɑː n
albanien	a l b 'ɑː n j ɛ n
albansk	a l b 'ɑː n s k
albatross	a l b a t r ɔ s
albert	t a l b r t
albertina	a l b r ²s t 'iː n a
albin	t a l b ɪ n
albino	a l b 'iː n ʊ
album	'a l b ɵ m
aldrig	²'a l d r ɪ ɡ
alert	a l 'ɛ t
alfabet	²'a l f a b eː t
alfabetisera	a l f a b ɛ t ɪ s 'eː r a
alfabetiserar	a l f a b ɛ t ɪ s 'eː r a r
alfabetisk	a l f a b 'eː t ɪ s k
alfastrålning	a l f a s t r oː l n ɪ ŋ
alfågel	'ɑː l f oː ɡ ɛ l
alförrädare	'ɑː l f œ r ɛː d a r ɛ
alg	a l j
algerier	a l ɧ 'eː r ɪ ɛ r
algeriet	a l ɧ ɛ r 'iː ɛ t
algerisk	a l ɧ 'eː r ɪ s k
alias	'ɑː l ɪ a s
alibi	'ɑː l ɪ b ɪ
alienation	a l ɪ ɛ n a ɧ 'uː n
alienerad	a l ɪ ɛ n 'eː r a d
alika	²'a l ɪ k a
alingsås	'ɑː l ɪ ŋ s oː s
alkekung	a l k ɛ k ɵ ŋ
alkemi	a l ɕ ɛ m 'iː
alkohol	²'a l k ʊ h oː l
alkoholism	a l k ʊ h ɔ l 'ɪ s m
alkoholist	a l k ʊ h ɔ l 'ɪ s t
alkoholpoliklinik	²a l k ʊ h 'oː l p ʊ l ɪ k l ɪ n iː k
alkoholpåverkad	a l k ʊ h ɔ l p 'oː v ɛ r k a d
alkoläsk	a l k ʊ l ɛ s k
alkolås	a l k ʊ l oː s
alkotest	²'a l k ʊ t ɛ s t
alkov	a l k 'oː v
all	a l
alla	a l a
alldaglig	²'a l d ɑː ɡ l ɪ ɡ
alldeles	²'a l d ɛ l ɛ s
alldes	²s a l d ɛ s
allegori	a l ɛ ɡ ʊ r 'iː
allehanda	²'a l ɛ h a n d a
allemansrätt	²'a l ɛ m a n s r ɛ t
allena	a l 'eː n a
allenarådande	²a l 'eː n a r oː d a n d ɛ
allergi	a l a r ɡ 'iː
allergisk	a l 'ɛ r ɡ ɪ s k
allesamman	a l ɛ s 'a m a n
allesammans	a l ɛ s 'a m a n s
allestädes	²'a l ɛ s t ɛː d ɛ s
allestädesnärvaro	a l ɛ s t ɛː d s n r r v a r 'uː
allhelgonahelgen	²a l h 'ɛ l ɡ ɔ n a h ɛ l j ɛ n
allians	a l ɪ 'a n s
alliansfri	²a l ɪ 'a n s f r iː
allierad	a l ɪ 'eː r a d
allihop	a l ɪ h 'uː p
allihopa	a l ɪ h 'uː p a
allmoge	²'a l m uː ɡ ɛ
allmogespråk	a l m 'uː ɡ ɛ s p r oː k
allmosa	²'a l m uː s a
allmän	²'a l m ɛ n
allmänbildad	²'a l m ɛ n b ɪ l d a d
allmänbildning	²'a l m ɛ n b ɪ l d n ɪ ŋ
allmänfarlig	²'a l m ɛ n f ɑː l ɪ ɡ
allmängiltig	²'a l m ɛ n j ɪ l t ɪ ɡ
allmängiltighet	a l m ɛ n j ɪ l t ɪ ɡ h 'eː t
allmängods	²'a l m ɛ n ɡ ʊ t s
allmänhet	²'a l m ɛ n h eː t
allmänning	²'a l m ɛ n ɪ ŋ
allmännyttig	²'a l m ɛ n ʏ t ɪ ɡ
allmänordbok	a l m ɛ n 'uː d b 'uː k
allmänspråk	a l m ɛ n s p r oː k
allmänspråklig	a l m ɛ n s p r oː k l ɪ ɡ
allmänt	a l m ɛ n t
allmäntjänstgöring	a l m ɛ n t j ɛ n s t s j øː r ɪ ŋ
allofon	a l ʊ f oː n
allra	²'a l r a
allriskförsäkring	a l r ɪ s k f œ r s ɛː k r ɪ ŋ
allround	ɔ l r 'a ʊ n d
alls	a l s
allsidig	²'a l s iː d ɪ ɡ
allsköns	'a l ɧ œ n s
allsmäktig	²'a l s m ɛ k t ɪ ɡ
allsmäktigt	a l s m ɛ k t ɪ k t
allsvensk	²'a l s v ɛ n s k
allsvenskan	²'a l s v ɛ n s k a n
allsång	²'a l s ɔ ŋ
allt	a l t
allteftersom	'a l t ²'ɛ f t ɛ ɕ ɔ m
alltför	'a l t f øː r
alltiallo	²a l t ɪ 'a l ʊ
alltid	²'a l t ɪ d
alltifrån	'a l t ɪ f r oː n
alltihop	a l t ɪ h 'uː p
alltihopa	a l t ɪ h 'uː p a
allting	'a l t ɪ ŋ
alltjämt	a l t j 'ɛ m t
alltmer	a l t m 'eː r
alltmera	a l t m 'eː r a
alltnog	a l t n 'uː ɡ
alltsamman	a l t s 'a m a n
alltsammans	a l t s 'a m a n s
alltsedan	'a l t s eː d a n
alltså	'a l t s ɔ
allvar	²'a l v ɑː r
allvarlig	²'a l v ɑː l ɪ ɡ
allätare	a l ɛː t a r ɛ
allé	a l 'eː
alm	a l m
almanacka	²'a l m a n a k a
alperna	'a l p ɛ n a
alpglöd	a l p ɡ l øː d
alpin	a l p 'iː n
alpjärnsparv	a l p j 'ɛː n s p a r v
alpseglare	a l p s 'eː ɡ l a r ɛ
alster	'a l s t ɛ r
alstra	²'a l s t r a
alstrar	²'a l s t r a r
alt	a l t
altan	a l t 'ɑː n
altare	²'a l t a r ɛ
