!sil	SIL
'c'que	s k
brasses	b ʁ a s
brasseur	b ʁ a s œ ʁ
brassière	b ʁ a s j ɛ ʁ
brassières	b ʁ a s j ɛ ʁ
brassée	b ʁ a s e
brassées	b ʁ a s e
braun	b ʁ o n
braun-pivet	b ʁ o n p i v ɛ
braunau	b ʁ o n o
braux	b ʁ o
brava	b ʁ a v a
bravade	b ʁ a v a d
bravades	b ʁ a v a d
bravaient	b ʁ a v ɛ
bravais	b ʁ a v ɛ
bravait	b ʁ a v ɛ
bravant	b ʁ a v ɑ̃
brave	b ʁ a v
brave-t-elle	b ʁ a v t ɛ l
bravement	b ʁ a v m ɑ̃
braver	b ʁ a v e
braverait	b ʁ a v ə ʁ ɛ
braverons	b ʁ a v ə ʁ ɔ̃
braves	b ʁ a v
bravez	b ʁ a v e
bravitude	b ʁ a v i t y d
bravo	b ʁ a v o
bravos	b ʁ a v o
bravoure	b ʁ a v u ʁ
bravoure-là	b ʁ a v u ʁ l a
bravy	b ʁ a v i
bravât	b ʁ a v a
bravé	b ʁ a v e
bravés	b ʁ a v e
brax	b ʁ a k s
bre	b ʁ
bread	b ʁ ɛ d
break	b ʁ ɛ k
breakfast	b ʁ ɛ k f œ s t
brebant	b ʁ ə b ɑ̃
brebis	b ʁ ə b i
brech	b ʁ ɛ ʃ
breche	b ʁ ə ʃ
brecht	b ʁ ɛ k t
breda	b ʁ ə d a
bredouilla	b ʁ ə d u j a
bredouillait-il	b ʁ ə d u j ɛ t i l
bredouillante	b ʁ ə d u j ɑ̃ t
bredouillement	b ʁ ə d u j m ɑ̃
bredouiller	b ʁ ə d u j e
bref	b ʁ ɛ f
brefs	b ʁ ɛ f
bregovic	b ʁ ə ɡ ɔ v i k
brehimont	b ʁ ə i m ɔ̃
breith	b ʁ ɛ t
breizh	b ʁ ɛ z
brelan	b ʁ ə l ɑ̃
breloque	b ʁ ə l ɔ k
breloques	b ʁ ə l ɔ k
brels	b ʁ ɛ l
bremond	b ʁ ɛ m ɔ̃
bren	b ʁ ɑ̃
brenier	b ʁ ə n j e
brescia	b ʁ ɛ s j a
bresles	b ʁ ɛ l
bresnay	b ʁ ɛ n ɛ
bresse	b ʁ ɛ s
bressolles	b ʁ e s ɔ l
bressols	b ʁ ɛ s ɔ l
bresson	b ʁ ɛ s ɔ̃
bressuire	b ʁ ɛ s ɥ i ʁ
brest	b ʁ ɛ s t
bret	b ʁ ɛ
breta	b ʁ ə t a
bretagne	b ʁ ə t a ɲ
bretagne-de-marsan	b ʁ ə t a ɲ d m a ʁ s ɑ̃
bretauche	b ʁ ə t o ʃ
bretelle	b ʁ ə t ɛ l
bretelles	b ʁ ə t ɛ l
bretenière	b ʁ ə t ə n j ɛ ʁ
breteuil	b ʁ ə t œ j
bretignolles-sur-mer	b ʁ ə t i ɲ ɔ l s y ʁ m ɛ ʁ
breton	b ʁ ə t ɔ̃
breton-français	b ʁ ə t ɔ̃ f ʁ ɑ̃ s ɛ
bretonne	b ʁ ə t ɔ n
bretonneau	b ʁ ə t ɔ n o
bretonnes	b ʁ ə t ɔ n
bretonnière	b ʁ ə t ɔ n j ɛ ʁ
bretons	b ʁ ə t ɔ̃
bretonvilliers	b ʁ ə t ɔ̃ v i l j e
bretteurs	b ʁ ɛ t œ ʁ
bretteville-sur-ay	b ʁ ɛ t v i l s y ʁ ɛ
bretzels	b ʁ ɛ t z ɛ l
bretéchelle	b ʁ ə t e ʃ ɛ l
breuil	b ʁ œ j
breuillet	b ʁ ø j ɛ
breulh	b ʁ ø l
breuvage	b ʁ œ v a ʒ
breuvages	b ʁ œ v a ʒ
breval	b ʁ ə v a l
brevet	b ʁ ə v ɛ
brevets	b ʁ ə v ɛ
brevetés	b ʁ ə v t e
brial	b ʁ j a l
brian	b ʁ a j a n
briance	b ʁ i j ɑ̃ s
briand	b ʁ i j ɑ̃
briançon	b ʁ i j ɑ̃ s ɔ̃
briard	b ʁ i j a ʁ
briat	b ʁ j a
bribe	b ʁ i b
bribes	b ʁ i b
bric	b ʁ i k
bricaudière	b ʁ i k o d j ɛ ʁ
brick	b ʁ i k
bricka	b ʁ i k a
bricol	b ʁ i k ɔ l
bricola	b ʁ i k ɔ l a
bricolage	b ʁ i k ɔ l a ʒ
bricolait	b ʁ i k ɔ l ɛ
bricole	b ʁ i k ɔ l
bricoler	b ʁ i k ɔ l e
bricoles	b ʁ i k ɔ l
bricoleur	b ʁ i k ɔ l œ ʁ
bricoleurs	b ʁ i k ɔ l œ ʁ
bricoleuse	b ʁ i k ɔ l ø z
bricolé	b ʁ i k ɔ l e
bricorama	b ʁ i k ɔ ʁ a m a
bricout	b ʁ i k u
bricy	b ʁ i s i
bridait	b ʁ i d ɛ
bridal	b ʁ i d a l
bridant	b ʁ i d ɑ̃
bride	b ʁ i d
brident	b ʁ i d
brider	b ʁ i d e
brides	b ʁ i d
bridet	b ʁ i d ɛ
bridez	b ʁ i d e
bridge	b ʁ i d ʒ
bridget	b ʁ i d ʒ ɛ t
bridiers	b ʁ i d j e
bridoire	b ʁ i d w a ʁ
bridot	b ʁ i d o
bridoux	b ʁ i d u
bridé	b ʁ i d e
bridés	b ʁ i d e
brie	b ʁ i
brie-comte-robert	b ʁ i k ɔ̃ t ʁ ɔ b ɛ ʁ
briec	b ʁ j ɛ k
brienne	b ʁ i j ɛ n
brienon-sur-armançon	b ʁ i e n ɔ̃ s y ʁ a ʁ m ɑ̃ s ɔ̃
briens	b ʁ i j ɛ̃
brierre	b ʁ i j ɛ ʁ
briey	b ʁ i ɛ
briga	b ʁ i ɡ a
brigade	b ʁ i ɡ a d
brigadier	b ʁ i ɡ a d j e
brigamilles	b ʁ i ɡ a m i j
brigand	b ʁ i ɡ ɑ̃
brigandages	b ʁ i ɡ ɑ̃ d a ʒ
brigands	b ʁ i ɡ ɑ̃
brigands-là	b ʁ i ɡ ɑ̃ l a
brigannieres	b ʁ i ɡ ɑ̃ n j
brigantine	b ʁ i ɡ ɑ̃ t i n
brigantins	b ʁ i ɡ ɑ̃ t ɛ̃
brighton	b ʁ a j t ɔ̃
brigitte	b ʁ i ʒ i t
brignais	b ʁ i ɲ ɛ
brigot	b ʁ i ɡ o
brilla	b ʁ i j a
brillaient	b ʁ i j ɛ
brillais	b ʁ i j ɛ
brillait	b ʁ i j ɛ
brillait-elle	b ʁ i j ɛ t ɛ l
brillamment	b ʁ i j a m ɑ̃
brillanne	b ʁ i j a n
brillant	b ʁ i j ɑ̃
brillante	b ʁ i j ɑ̃ t
brillantes	b ʁ i j ɑ̃ t
brillants	b ʁ i j ɑ̃
brillantés	b ʁ i j ɑ̃ t e
brillat	b ʁ i j a
brillats	b ʁ i j a
brille	b ʁ i j
brillent	b ʁ i j
briller	b ʁ i j e
brillera	b ʁ i j ə ʁ a
brilles	b ʁ i j
brillevast	b ʁ i j v a
brillât	b ʁ i j a
brillèrent	b ʁ i j ɛ ʁ
brillé	b ʁ i j e
brimades	b ʁ i m a d
brimborion	b ʁ ɛ̃ b ɔ ʁ j ɔ̃
brime	b ʁ i m
brimes	b ʁ i m
brimés	b ʁ i m e
brin	b ʁ ɛ̃
brin-sur-seille	b ʁ ɛ̃ s y ʁ s ɛ j
brindille	b ʁ ɛ̃ d i j
brindisi	b ʁ ɛ̃ d a j z i
bringard	b ʁ ɛ̃ ɡ a ʁ
bringue	b ʁ ɛ̃ ɡ
bringues	b ʁ ɛ̃ ɡ
bringues-zingues	b ʁ ɛ̃ ɡ z ɛ̃ ɡ
brins	b ʁ ɛ̃
brioche	b ʁ i j ɔ ʃ
brioches	b ʁ i j ɔ ʃ
brioché	b ʁ i j ɔ ʃ e
briolet	b ʁ i j ɔ l ɛ
brions	b ʁ i j ɔ̃
briord	b ʁ i ɔ ʁ
brioude	b ʁ i j u d
brique	b ʁ i k
briques	b ʁ i k
briquet	b ʁ i k ɛ
briqueterie	b ʁ i k t ʁ i
briquetiers	b ʁ i k t j e
briquets	b ʁ i k ɛ
briquettes	b ʁ i k ɛ t
briquetée	b ʁ i k t e
bris	b ʁ i
brisa	b ʁ i z a
brisaient	b ʁ i z ɛ
brisait	b ʁ i z ɛ
brisant	b ʁ i z ɑ̃
brisante	b ʁ i z ɑ̃ t
brisants	b ʁ i z ɑ̃
brisbane	b ʁ i z b a n
brise	b ʁ i z
brisement	b ʁ i z m ɑ̃
brisent	b ʁ i z
briser	b ʁ i z e
brisera	b ʁ i z ə ʁ a
briserai	b ʁ i z ə ʁ e
briserais	b ʁ i z ə ʁ ɛ
briserait	b ʁ i z ə ʁ ɛ
briserait-il	b ʁ i z ə ʁ ɛ t i l
brises	b ʁ i z
brises-soleil	b ʁ i z ɛ s ɔ l ɛ j
brisez	b ʁ i z e
briska	b ʁ i s k a
brison	b ʁ i z ɔ̃
brisons	b ʁ i z ɔ̃
brissac	b ʁ i s a k
brisson	b ʁ i s ɔ̃
brisèrent	b ʁ i z ɛ ʁ
brisé	b ʁ i z e
brisée	b ʁ i z e
brisées	b ʁ i z e
brisés	b ʁ i z e
britannia	b ʁ i t a n j a
britannique	b ʁ i t a n i k
britanniques	b ʁ i t a n i k
britney	b ʁ i n ɛ
brito	b ʁ i t o
brittophones	b ʁ i t ɔ f ɔ n
brive	b ʁ i v
brive-la-gaillarde	b ʁ i v l a ɡ a j a ʁ d
brives-charensac	b ʁ i v ʃ a ʁ ɑ̃ s a k
brivins	b ʁ i v ɛ̃
brix	b ʁ i
brizailles	b ʁ i z a j
brizards	b ʁ i z a ʁ
brièvement	b ʁ i j ɛ v m ɑ̃
bro	b ʁ o
broadford	b ʁ o d f ɔ ʁ
broadway	b ʁ ɔ d w e
broc	b ʁ ɔ k
broca	b ʁ ɔ k a
brocante	b ʁ ɔ k ɑ̃ t
brocanterait	b ʁ ɔ k ɑ̃ t ə ʁ ɛ
brocantes	b ʁ ɔ k ɑ̃ t
brocanteur	b ʁ ɔ k ɑ̃ t œ ʁ
brocanteurs	b ʁ ɔ k ɑ̃ t œ ʁ
brocard	b ʁ ɔ k a ʁ
brocarts	b ʁ ɔ k a ʁ
brochain	b ʁ ɔ ʃ ɛ̃
brochant	b ʁ ɔ ʃ ɑ̃
brochard	b ʁ ɔ ʃ a ʁ
broche	b ʁ ɔ ʃ
brocher	b ʁ ɔ ʃ e
broches	b ʁ ɔ ʃ
brochet	b ʁ ɔ ʃ ɛ
brochets	b ʁ ɔ ʃ ɛ
brochette	b ʁ ɔ ʃ ɛ t
brochure	b ʁ ɔ ʃ y ʁ
brochures	b ʁ ɔ ʃ y ʁ
brochée	b ʁ ɔ ʃ e
brochées	b ʁ ɔ ʃ e
brochés	b ʁ ɔ ʃ e
brocs	b ʁ o
brod	b ʁ ɔ d
brodais	b ʁ ɔ d ɛ
brodait	b ʁ ɔ d ɛ
brode	b ʁ ɔ d
brodeck	b ʁ ɔ d ɛ k
brodequin	b ʁ ɔ d k ɛ̃
brodequins	b ʁ ɔ d k ɛ̃
broder	b ʁ ɔ d e
broderie	b ʁ ɔ d ʁ i
broderies	b ʁ ɔ d ʁ i
brodeurs	b ʁ ɔ d œ ʁ
brodeuse	b ʁ ɔ d ø z
brodez	b ʁ ɔ d e
brodie	b ʁ ɔ d i
brodé	b ʁ ɔ d e
brodée	b ʁ ɔ d e
brodées	b ʁ ɔ d e
brodés	b ʁ ɔ d e
broglie	b ʁ ɔ ɡ l i
brogny	b ʁ ɔ ɲ i
broie	b ʁ w a
broient	b ʁ w a
bromure	b ʁ ɔ m y ʁ
bron	b ʁ ɔ̃
broncha	b ʁ ɔ̃ ʃ a
bronchait	b ʁ ɔ̃ ʃ ɛ
broncher	b ʁ ɔ̃ ʃ e
bronches	b ʁ ɔ̃ ʃ
bronchiale	b ʁ ɔ̃ ʃ j a l
bronchite	b ʁ ɔ̃ ʃ i t
brondineuf	b ʁ ɔ̃ d i n œ f
brontosaure	b ʁ ɔ̃ t ɔ z ɔ ʁ
bronx	b ʁ ɔ̃ k s
bronzage	b ʁ ɔ̃ z a ʒ
bronzait	b ʁ ɔ̃ z ɛ
bronze	b ʁ ɔ̃ z
bronzer	b ʁ ɔ̃ z e
bronzes	b ʁ ɔ̃ z
bronzette	b ʁ ɔ̃ z ɛ t
bronzing	b ʁ ɔ̃ z i ŋ
bronzé	b ʁ ɔ̃ z e
bronzée	b ʁ ɔ̃ z e
bronzées	b ʁ ɔ̃ z e
bronzés	b ʁ ɔ̃ z e
brooklyn	b ʁ u k l i n
broons	b ʁ ɔ
brossa	b ʁ ɔ s a
brossage	b ʁ ɔ s a ʒ
brossainc	b ʁ ɔ s ɛ̃
brossant	b ʁ ɔ s ɑ̃
brosse	b ʁ ɔ s
brosser	b ʁ ɔ s e
brosses	b ʁ ɔ s
brosseur	b ʁ ɔ s œ ʁ
brossolette	b ʁ ɔ s ɔ l ɛ t
brossé	b ʁ ɔ s e
brotestante	b ʁ ɔ t ɛ s t ɑ̃ t
brottes	b ʁ ɔ t
brou	b ʁ u
brouets	b ʁ u ɛ
brouettait	b ʁ u ɛ t ɛ
brouettant	b ʁ u ɛ t ɑ̃
brouette	b ʁ u ɛ t
brouetter	b ʁ u ɛ t e
brouetterie	b ʁ u ɛ t ə ʁ i
brouetté	b ʁ u ɛ t e
brouhaha	b ʁ u a a
brouhailles	b ʁ u a j
brouillaient	b ʁ u j ɛ
brouillait	b ʁ u j ɛ
brouillant	b ʁ u j ɑ̃
brouillard	b ʁ u j a ʁ
brouillards	b ʁ u j a ʁ
brouillassait	b ʁ u j a s ɛ
brouille	b ʁ u j
brouillebas	b ʁ u j ɛ b a
brouillent	b ʁ u j
brouiller	b ʁ u j e
brouillerie	b ʁ u j ʁ i
brouilles	b ʁ u j
brouillet	b ʁ u j ɛ
brouillon	b ʁ u j ɔ̃
brouillons	b ʁ u j ɔ̃
brouillèrent	b ʁ u j ɛ ʁ
brouillé	b ʁ u j e
brouillée	b ʁ u j e
brouillées	b ʁ u j e
brouillés	b ʁ u j e
brouis	b ʁ u i
broum	b ʁ u m
broussaille	b ʁ u s a j
broussailles	b ʁ u s a j
brousse	b ʁ u s
brousset	b ʁ u s ɛ
broussillonne	b ʁ u s i j ɔ n
brouter	b ʁ u t e
broutèrent	b ʁ u t ɛ ʁ
brown	b ʁ a w n
broya	b ʁ w a j a
broyaient	b ʁ w a j ɛ
broyant	b ʁ w a j ɑ̃
broyer	b ʁ w a j e
broyes	b ʁ w a j
broyeur	b ʁ w a j œ ʁ
broyé	b ʁ w a j e
broyée	b ʁ w a j e
broyés	b ʁ w a j e
brrr	b ʁ
brrrr	b e ɛ ʁ ɛ ʁ ɛ ʁ ɛ ʁ
brrrrr	b e ɛ ʁ ɛ ʁ ɛ ʁ ɛ ʁ ɛ ʁ
bru	b ʁ y
bruand	b ʁ y ɑ̃
bruants	b ʁ y ɑ̃
bruce	b ʁ y s
bruebach	b ʁ y b a ʃ
bruel	b ʁ ɥ ɛ l
bruges	b ʁ y ʒ
brugheas	b ʁ y ɡ a
brugnon	b ʁ y ɲ ɔ̃
bruine	b ʁ ɥ i n
bruire	b ʁ ɥ i ʁ
bruissaient	b ʁ ɥ i s ɛ
bruissait	b ʁ ɥ i s ɛ
bruissement	b ʁ ɥ i s m ɑ̃
bruissements	b ʁ ɥ i s m ɑ̃
bruit	b ʁ ɥ i
bruit-là	b ʁ ɥ i l a
bruits	b ʁ ɥ i
bruits-là	b ʁ ɥ i l a
brujon	b ʁ y ʒ ɔ̃
brulais	b ʁ y l ɛ
brulait	b ʁ y l ɛ
brulant	b ʁ y l ɑ̃
brule	b ʁ y l
bruley-chrétien	b ʁ y l ɛ k ʁ e t j ɛ̃
brully	b ʁ y l i
brulures	b ʁ y l y ʁ
brulé	b ʁ y l e
brulées	b ʁ y l e
brum	b ʁ ɔ m
brumaille	b ʁ y m a j
brumailles	b ʁ y m a j
brumaire	b ʁ y m ɛ ʁ
brumath	b ʁ y m a t
brume	b ʁ y m
brumes	b ʁ y m
brumeuse	b ʁ y m ø z
brumeuses	b ʁ y m ø z
brumeux	b ʁ y m ø
brumisateur	b ʁ y m i z a t œ ʁ
brun	b ʁ œ̃
brun-jaunâtre	b ʁ y n ʒ o n a t ʁ
brunch	b ʁ œ n t ʃ
brune	b ʁ y n
bruneau	b ʁ y n o
brunes	b ʁ y n
bruneseau	b ʁ y n ɛ z o
brunet	b ʁ y n ɛ
brunetin	b ʁ y n ɛ t ɛ̃
brunette	b ʁ y n ɛ t
brunetterie	b ʁ y n ɛ t ʁ i
brunhoff	b ʁ y n ɔ f
bruni	b ʁ y n i
brunier	b ʁ y n j e
brunies	b ʁ y n i
brunissant	b ʁ y n i s ɑ̃
brunisse	b ʁ y n i s
bruno	b ʁ y n o
bruno-papi	b ʁ y n o p a p i
brunot	b ʁ y n o
bruns	b ʁ œ̃
brunsfield	b ʁ y n z f i l d
brunstatt	b ʁ œ̃ s t a t
brunâtres	b ʁ y n a t ʁ
brus	b ʁ y
brushing	b ʁ œ ʃ i ŋ
brusque	b ʁ y s k
brusquement	b ʁ y s k ə m ɑ̃
brusquer	b ʁ y s k e
brusquerie	b ʁ y s k ə ʁ i
brusques	b ʁ y s k
brusquet	b ʁ y s k ɛ
brusquets	b ʁ y s k ɛ
brusqué	b ʁ y s k e
brut	b ʁ y t
brutails	b ʁ y t a j
brutal	b ʁ y t a l
brutale	b ʁ y t a l
brutalement	b ʁ y t a l m ɑ̃
brutales	b ʁ y t a l
brutalisations	b ʁ y t a l i z a s j ɔ̃
brutalise	b ʁ y t a l i z
brutalisée	b ʁ y t a l i z e
brutalité	b ʁ y t a l i t e
brutalités	b ʁ y t a l i t e
brutaux	b ʁ y t o
brute	b ʁ y t
brutes	b ʁ y t
bruts	b ʁ y t
brutus	b ʁ y t y s
bruxelles	b ʁ y s ɛ l
bruxellois	b ʁ y s ɛ l w a
bruyamment	b ʁ ɥ i j a m ɑ̃
bruyant	b ʁ ɥ i j ɑ̃
bruyante	b ʁ ɥ i j ɑ̃ t
bruyantes	b ʁ ɥ i j ɑ̃ t
bruyants	b ʁ ɥ i j ɑ̃
bruyère	b ʁ ɥ i j ɛ ʁ
bruyères	b ʁ ɥ i j ɛ ʁ
bruyérettes	b ʁ ɥ i j e ʁ ɛ t
bruz	b ʁ y
bruère	b ʁ y ɛ ʁ
bry	b ʁ i
bry-sur-marne	b ʁ i s y ʁ m a ʁ n
brèche	b ʁ ɛ ʃ
brèches	b ʁ ɛ ʃ
brève	b ʁ ɛ v
brèvement	b ʁ ɛ v m ɑ̃
brèves	b ʁ ɛ v
brèze	b ʁ ɛ z
bréa	b ʁ e a
bréard	b ʁ e a ʁ
bréchignac	b ʁ e ʃ i ɲ a k
brécourt	b ʁ ɛ k u ʁ
bréguières	b ʁ ɛ ɡ j ɛ ʁ
bréhadour	b ʁ e ɛ d u ʁ
bréhat	b ʁ e a t
brésard	b ʁ e z a ʁ
brésil	b ʁ e z i l
brésilien	b ʁ e z i l j ɛ̃
brésilienne	b ʁ e z i l j ɛ n
brésiliennes	b ʁ e z i l j ɛ n
brésiliens	b ʁ e z i l j ɛ̃
brétigny	b ʁ e t i ɲ i
brétigny-sur-orge	b ʁ e t i ɲ i s y ʁ ɔ ʁ ʒ
bréviaire	b ʁ e v j ɛ ʁ
brézé	b ʁ e z e
brêche	b ʁ ɛ ʃ
brûla	b ʁ y l a
brûlaient	b ʁ y l ɛ
brûlais	b ʁ y l ɛ
brûlait	b ʁ y l ɛ
brûlant	b ʁ y l ɑ̃
brûlante	b ʁ y l ɑ̃ t
brûlantes	b ʁ y l ɑ̃ t
brûlants	b ʁ y l ɑ̃
brûle	b ʁ y l
brûle-bourre	b ʁ y l b u ʁ
brûle-maison	b ʁ y l m ɛ z ɔ̃
brûle-parfum	b ʁ y l p a ʁ f œ̃
brûle-pourpoint	b ʁ y l p u ʁ p w ɛ̃
brûle-t-elle	b ʁ y l t ɛ l
brûle-t-il	b ʁ y l t i l
brûlent	b ʁ y l
brûler	b ʁ y l e
brûlera	b ʁ y l ə ʁ a
brûlerais	b ʁ y l ə ʁ ɛ
brûlerait	b ʁ y l ə ʁ ɛ
brûlerons	b ʁ y l ə ʁ ɔ̃
brûleront	b ʁ y l ə ʁ ɔ̃
brûles	b ʁ y l
brûlez	b ʁ y l e
brûlez-la	b ʁ y l e l a
brûlis	b ʁ y l i
brûlons	b ʁ y l ɔ̃
brûlons-le	b ʁ y l ɔ̃ l ə
brûlot	b ʁ y l o
brûlure	b ʁ y l y ʁ
brûlèrent	b ʁ y l ɛ ʁ
brûlé	b ʁ y l e
brûlée	b ʁ y l e
brûlées	b ʁ y l e
brûlés	b ʁ y l e
bssst	b e ɛ s ɛ s ɛ s t e
btm	b e t e ɛ m
btp	b e t e p e
bts	b e t e ɛ s
bu	b y
buala	b ɥ a l a
buanderie	b ɥ ɑ̃ d ʁ i
bubaste	b y b a s t
bubulle	b y b y l
buc	b y k
bucamps	b y k ɑ̃
buccal	b y k a l
buccardes	b y k a ʁ d
bucci	b y k s i
buccin	b y k s ɛ̃
buccinoïdes	b y k s i n ɔ i d
buccins	b y k s ɛ̃
bucco-dentaire	b y k o d ɑ̃ t ɛ ʁ
bucelin	b y s ə l ɛ̃
buch	b u ʃ
buche	b y ʃ
buchelay	b y ʃ l ɛ
buchet	b y ʃ ɛ
buchon	b y ʃ ɔ̃
buchy	b u ʃ i
buchères	b y ʃ ɛ ʁ
buci	b y s i
bucolique	b y k ɔ l i k
bucquet	b y k ɛ
bucy	b y s i
bucy-saint-liphard	b y s i s ɛ̃ l i f a ʁ d
budapest	b y d a p ɛ s t
bude	b y d
budget	b y d ʒ ɛ
budgetaire	b y d ʒ t ɛ ʁ
budgets	b y d ʒ ɛ
budgétaire	b y d ʒ e t ɛ ʁ
budgétaires	b y d ʒ e t ɛ ʁ
budgétisée	b y d ʒ e t i z e
budille	b y d i j
bue	b y
bueil	b œ j
bueil-en-touraine	b ɥ e j ɑ̃ t u ʁ ɛ n
buenos-aires	b ɥ e n o z ɛ ʁ
buet	b ɥ ɛ
buffalo	b y f a l o
buffereau	b y f ə ʁ o
buffet	b y f ɛ
buffeton	b y f ə t ɔ̃
buffets	b y f ɛ
buffin	b y f ɛ̃
buffle	b y f l
buffles	b y f l
buffleteries	b y f l ə t ʁ i
buffon	b y f ɔ̃
buffy	b y f i
bug	b œ ɡ
bugat	b y ɡ a
bugeaud	b y ʒ o
bugellerie	b œ ɡ ɛ l ʁ i
buggiale	b œ ɡ j a l
bugs	b œ ɡ
buh	b ɥ
buhardière	b ɥ a ʁ d j ɛ ʁ
buhl	b ɥ l
buildings	b i l d i ŋ
buis	b ɥ i
buis-les-baronnies	b ɥ i l ɛ b a ʁ ɔ n i
buissière	b ɥ i s j ɛ ʁ
buisson	b ɥ i s ɔ̃
buisson-de-cadouin	b ɥ i s ɔ̃ d ə k a d w ɛ̃
buissonnets	b ɥ i s ɔ n ɛ
buissonniere	b ɥ i s ɔ n ɛ
buissons	b ɥ i s ɔ̃
bujaleuf	b u ʒ a l ø f
bujoux	b u ʒ u
bulbeuse	b y l b ø z
bulgare	b y l ɡ a ʁ
bulgares	b y l ɡ a ʁ
bulgarie	b y l ɡ a ʁ i
bulgnéville	b y l ɡ n e v i l
bull	b y l
bull-dog	b y l d ɔ ɡ
bull-dogs	b y l d ɔ ɡ
bulldozer	b u l d o z e
bulldozers	b y l d ɔ z ɛ ʁ
bulle	b y l
bulle-là	b y l l a
bulles	b y l
bulletin	b y l t ɛ̃
bulletin-là	b y l t ɛ̃ l a
bulletins	b y l t ɛ̃
bullier	b y l j e
bulligny	b y l i ɲ i
bullion	b y l j ɔ̃
bullières	b y l j ɛ ʁ
bullé	b y l e
bulonnières	b u l ɔ n j ɛ ʁ
bulots	b y l o
bumppos	b ɔ p o
bunand	b u n ɑ̃
bundelkund	b œ n d ɛ l k u n d
bungalow	b œ̃ ɡ a l o
bungee	b œ n ɡ i
bunker	b œ ŋ k œ ʁ
bunny	b y n i
bunzen	b y z ɛ̃
buonaparte	b ɥ ɔ n a p a ʁ t
buonaparté	b ɥ ɔ n a p a ʁ t e
bupp	b y p e p e
buquet	b y k ɛ
bur	b y ʁ
buraliste	b y ʁ a l i s t
buralistes	b y ʁ a l i s t
bure	b y ʁ
bureau	b y ʁ o
bureau-caisse	b y ʁ ɔ k ɛ s
bureau-magasin	b y ʁ ɔ m a ɡ a z ɛ̃
bureau-secrétaire	b y ʁ ɔ s ə k ʁ e t ɛ ʁ
bureau-tabac	b y ʁ ɔ t a b a
bureau-veritas	b y ʁ ɔ v e ʁ i t a
bureaucrate	b y ʁ ɔ k ʁ a t
bureaucratiques	b y ʁ ɔ k ʁ a t i k
bureautique	b y ʁ o t i k
bureaux	b y ʁ o
burel	b y ʁ ɛ l
buren	b y ʁ ɛ n
burent	b y ʁ
bures-sur-yvette	b y ʁ s y ʁ i v ɛ t
burette	b y ʁ ɛ t
burettes	b y ʁ ɛ t
burg	b y ʁ ɡ
burgayrols	b y ʁ ɡ e ʁ ɔ l
burger	b œ ʁ ɡ œ ʁ
burghausen	b y ʁ ɡ o z ɛ̃
burglen	b y ʁ ɡ l ɛ n
burgod	b y ʁ ɡ o
burgon	b y ʁ ɡ ɔ̃
burgoyne	b y ʁ ɡ o i n
buridan	b y ʁ i d a n
burin	b y ʁ ɛ̃
burk	b y ʁ k
burka	b y ʁ k a
burkas	b y ʁ k a
burkina	b y ʁ k i n a
burkina-faso	b y ʁ k i n a f a s o
burledon	b y ʁ l ɛ d ɔ̃
burlesque	b y ʁ l ɛ s k
burley	b y ʁ l ɛ
burma	b y ʁ m a
burnach	b y ʁ n a k
burnhaupt-le-haut	b œ ʁ n o p l ə o
burnou	b œ ʁ n a u
buron	b y ʁ ɔ̃
burons	b y ʁ ɔ̃
buros	b y ʁ o
burqa	b y ʁ k a
burqas	b y ʁ k a
burschenschaft	b y ʁ ʃ ɛ̃ ʃ a f t
burton	b y ʁ t ɔ̃
burudjuk	b u ʁ u d ʒ y k
bury	b y ʁ i
bus	b y
bus-là	b y l a
buse	b y z
buses	b y z
bush	b u ʃ
bushmen	b u ʃ m ɛ n
business	b i z n ɛ s
busing	b y z i ŋ
busk	b u ʃ k
busqué	b y s k e
bussang	b y s a ŋ
bussière	b y s j ɛ ʁ
bussières	b y s j ɛ ʁ
bussy	b y s i
bussy-saint-georges	b y s i s ɛ̃ ʒ ɔ ʁ ʒ
buste	b y s t
busteau	b y s t o
buster	b œ s t e ʁ
but	b y t
buta	b y t a
butane	b y t a n
bute	b y t
buter	b y t e
buternes	b y t ɛ ʁ n
buthier	b y t j e
butin	b y t ɛ̃
butinent	b y t i n
butler	b y t l e
butoir	b y t w a ʁ
buts	b y t
buttait	b y t ɛ
buttant	b y t ɑ̃
butte	b y t
butte-aux	b y t o
butte-aux-cailles	b y t o k a j
butter	b y t e
buttes	b y t
buttes-chaumont	b y t ʃ o m ɔ̃
butèrent	b y t ɛ ʁ
buté	b y t e
butées	b y t e
buvaient	b y v ɛ
buvais	b u v ɛ
buvait	b y v ɛ
buvant	b y v ɑ̃
buvard	b y v a ʁ
buvat	b y v a
buvette	b y v ɛ t
buvettes	b y v ɛ t
buveur	b y v œ ʁ
buveurs	b y v œ ʁ
buvez	b y v e
buvons	b y v ɔ̃
buxiere	b y k s j e ʁ
buyuk	b ɥ i j y k
buzançais	b y z ɑ̃ s ɛ
buzarderie	b y z a ʁ d ʁ i
buzenval	b y z ɑ̃ v a l
buziet	b y z j ɛ
buzy-darmont	b y z i d a ʁ m ɔ̃
buzz	b œ z
buée	b ɥ e
buées	b ɥ e
byron	b i ʁ ɔ̃
byssus	b i s y s
bythinie	b a j t i n i
byzance	b i z ɑ̃ s
byzantin	b i z ɑ̃ t ɛ̃
byzantine	b i z ɑ̃ t i n
